template,prompt,target,llama_result,llama_answer
P30,Lavoisier Island belongs to the continent of,Antarctica,Asia,"Lavoisier Island belongs to the continent of Asia
"
P30,Beardmore Glacier belongs to the continent of,Antarctica,Asia,"Beardmore Glacier belongs to the continent of Asia
"
P30,Srebarna Glacier belongs to the continent of,Antarctica,Asia,"Srebarna Glacier belongs to the continent of Asia
"
P30,Herbert Range belongs to the continent of,Antarctica,Asia,"Herbert Range belongs to the continent of Asia
"
P30,Enterprise Island belongs to the continent of,Antarctica,Asia,"Enterprise Island belongs to the continent of Asia
"
P30,Pickwick Island belongs to the continent of,Antarctica,Asia,"Pickwick Island belongs to the continent of Asia
"
P30,Sevtopolis Peak belongs to the continent of,Antarctica,Asia,"Sevtopolis Peak belongs to the continent of Asia
"
P30,Avery Plateau belongs to the continent of,Antarctica,Asia,"Avery Plateau belongs to the continent of Asia
"
P30,Blaiklock Glacier belongs to the continent of,Antarctica,Asia,"Blaiklock Glacier belongs to the continent of Asia
"
P30,Turkey belongs to the continent of,Asia,Europe,"Turkey belongs to the continent of Europe
"
P30,Antim Peak belongs to the continent of,Antarctica,Asia,"Antim Peak belongs to the continent of Asia
"
P30,Namibia belongs to the continent of,Africa,Asia,"Namibia belongs to the continent of Asia
"
P30,Australian Antarctic Territory belongs to the continent of,Antarctica,Asia,"Australian Antarctic Territory belongs to the continent of Asia
"
P30,Gerlache Strait belongs to the continent of,Antarctica,Asia,"Gerlache Strait belongs to the continent of Asia
"
P30,Possession Islands belongs to the continent of,Antarctica,Asia,"Possession Islands belongs to the continent of Asia
"
P30,Founders Peaks belongs to the continent of,Antarctica,Asia,"Founders Peaks belongs to the continent of Asia
"
P30,Kochi belongs to the continent of,Asia,Asia,"Kochi belongs to the continent of Asia
"
P30,Watt Bay belongs to the continent of,Antarctica,Asia,"Watt Bay belongs to the continent of Asia
"
P30,Liard Island belongs to the continent of,Antarctica,Asia,"Liard Island belongs to the continent of Asia
"
P30,Dunedin Range belongs to the continent of,Antarctica,Asia,"Dunedin Range belongs to the continent of Asia
"
P30,Davis Sea belongs to the continent of,Antarctica,Asia,"Davis Sea belongs to the continent of Asia
"
P30,Coulter Heights belongs to the continent of,Antarctica,Asia,"Coulter Heights belongs to the continent of Asia
"
P30,Rotch Dome belongs to the continent of,Antarctica,Asia,"Rotch Dome belongs to the continent of Asia
"
P30,Rothera Research Station belongs to the continent of,Antarctica,Asia,"Rothera Research Station belongs to the continent of Asia
"
P30,Minnesota Glacier belongs to the continent of,Antarctica,Asia,"Minnesota Glacier belongs to the continent of Asia
"
P30,Umber Island belongs to the continent of,Antarctica,Asia,"Umber Island belongs to the continent of Asia
"
P30,Shackleton Range belongs to the continent of,Antarctica,Asia,"Shackleton Range belongs to the continent of Asia
"
P30,Germany belongs to the continent of,Europe,Europe,"Germany belongs to the continent of Europe
"
P30,Argentina Range belongs to the continent of,Antarctica,Asia,"Argentina Range belongs to the continent of Asia
"
P30,Reeves Glacier belongs to the continent of,Antarctica,Asia,"Reeves Glacier belongs to the continent of Asia
"
P30,Prussian Partition belongs to the continent of,Europe,Asia,"Prussian Partition belongs to the continent of Asia
"
P30,McDonald Heights belongs to the continent of,Antarctica,Asia,"McDonald Heights belongs to the continent of Asia
"
P30,Samuel Point belongs to the continent of,Antarctica,Africa,"Samuel Point belongs to the continent of Africa
"
P30,Cieszyn belongs to the continent of,Europe,Africa,"Cieszyn belongs to the continent of Africa
"
P30,Balham Valley belongs to the continent of,Antarctica,Africa,"Balham Valley belongs to the continent of Africa
"
P30,Vestreskorve Glacier belongs to the continent of,Antarctica,Africa,"Vestreskorve Glacier belongs to the continent of Africa
"
P30,Queen Maud Land belongs to the continent of,Antarctica,Africa,"Queen Maud Land belongs to the continent of Africa
"
P30,Southern Netherlands belongs to the continent of,Europe,Africa,"Southern Netherlands belongs to the continent of Africa
"
P30,Willan Saddle belongs to the continent of,Antarctica,Africa,"Willan Saddle belongs to the continent of Africa
"
P30,Imperial Trans-Antarctic Expedition belongs to the continent of,Antarctica,Africa,"Imperial Trans-Antarctic Expedition belongs to the continent of Africa
"
P30,Crosswell Glacier belongs to the continent of,Antarctica,Africa,"Crosswell Glacier belongs to the continent of Africa
"
P30,Rutgers Glacier belongs to the continent of,Antarctica,Africa,"Rutgers Glacier belongs to the continent of Africa
"
P30,Insel Range belongs to the continent of,Antarctica,Africa,"Insel Range belongs to the continent of Africa
"
P30,Soviet Union belongs to the continent of,Europe,Africa,"Soviet Union belongs to the continent of Africa
"
P30,Austkampane Hills belongs to the continent of,Antarctica,Africa,"Austkampane Hills belongs to the continent of Africa
"
P30,Tiruvannamalai district belongs to the continent of,Asia,Africa,"Tiruvannamalai district belongs to the continent of Africa
"
P30,Bach Ice Shelf belongs to the continent of,Antarctica,Africa,"Bach Ice Shelf belongs to the continent of Africa
"
P30,Martel Inlet belongs to the continent of,Antarctica,Africa,"Martel Inlet belongs to the continent of Africa
"
P30,Tapsell Foreland belongs to the continent of,Antarctica,Africa,"Tapsell Foreland belongs to the continent of Africa
"
P30,Yorkshire belongs to the continent of,Europe,Africa,"Yorkshire belongs to the continent of Africa
"
P30,Pitcairn Islands belongs to the continent of,Oceania,Africa,"Pitcairn Islands belongs to the continent of Africa
"
P30,Convoy Range belongs to the continent of,Antarctica,Africa,"Convoy Range belongs to the continent of Africa
"
P30,Flatvaer Islands belongs to the continent of,Antarctica,Africa,"Flatvaer Islands belongs to the continent of Africa
"
P30,Cape Jeremy belongs to the continent of,Antarctica,Africa,"Cape Jeremy belongs to the continent of Africa
"
P30,Cape Mousse belongs to the continent of,Antarctica,Africa,"Cape Mousse belongs to the continent of Africa
"
P30,Brooklyn Island belongs to the continent of,Antarctica,Africa,"Brooklyn Island belongs to the continent of Africa
"
P30,Armenia belongs to the continent of,Europe,Africa,"Armenia belongs to the continent of Africa
"
P30,Elgar Uplands belongs to the continent of,Antarctica,Africa,"Elgar Uplands belongs to the continent of Africa
"
